epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,4126.28,0.54206,0.36025,1.08276,0.01411,0.94712,0.91588,0.95087,0.85646,0.42083,0.297,1.04249,0.00747,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,4171.5,0.53973,0.35855,1.07776,0.01387,0.94694,0.91517,0.95087,0.8555,0.42158,0.29743,1.04373,0.00763,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,4216.69,0.53457,0.35506,1.07626,0.01356,0.94854,0.9138,0.95088,0.85449,0.42287,0.2981,1.04509,0.00755,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,4261.97,0.5338,0.35521,1.07632,0.01352,0.94692,0.91477,0.95072,0.85439,0.42198,0.29794,1.04582,0.00766,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,4307.17,0.53402,0.35294,1.07582,0.01378,0.95592,0.9062,0.95058,0.85519,0.42056,0.29755,1.04507,0.00752,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,4352.36,0.5334,0.35412,1.0748,0.01357,0.95407,0.90933,0.95093,0.85576,0.4199,0.29446,1.04516,0.00743,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,4397.51,0.5333,0.35364,1.07585,0.01366,0.95567,0.90867,0.95099,0.8551,0.41976,0.29382,1.04622,0.00759,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,4442.79,0.53372,0.35146,1.07324,0.0135,0.95569,0.909,0.95127,0.85487,0.41982,0.2927,1.04652,0.00769,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,4488.03,0.53051,0.35119,1.07243,0.01344,0.95589,0.91023,0.95139,0.85502,0.42059,0.29153,1.04744,0.00793,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,4533.22,0.5303,0.35132,1.07262,0.0134,0.95493,0.91081,0.9513,0.85563,0.42074,0.29284,1.04749,0.00804,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,4578.48,0.52931,0.35059,1.07001,0.01319,0.95662,0.90922,0.95113,0.85482,0.42013,0.29238,1.04642,0.00789,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,4623.66,0.52596,0.34797,1.06632,0.01284,0.95303,0.91151,0.9512,0.85481,0.41911,0.29246,1.04555,0.00797,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,4668.87,0.52744,0.34909,1.06943,0.01292,0.95204,0.91397,0.95134,0.85513,0.41861,0.29214,1.04534,0.00809,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,4714.17,0.5252,0.34666,1.06489,0.01304,0.95373,0.91091,0.95142,0.85497,0.4185,0.29227,1.04469,0.00792,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,4759.42,0.52497,0.347,1.06576,0.01294,0.94657,0.91871,0.95147,0.85498,0.418,0.29161,1.04401,0.00838,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,4804.64,0.52247,0.34543,1.06205,0.01293,0.94416,0.92065,0.95142,0.85496,0.41777,0.2916,1.04439,0.00759,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,4849.91,0.52301,0.34641,1.06311,0.01288,0.94405,0.92048,0.95133,0.85473,0.41803,0.29212,1.04472,0.00746,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,4895.15,0.52128,0.34403,1.06238,0.01262,0.94394,0.92037,0.9513,0.85516,0.41771,0.29189,1.04479,0.00741,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
